"name","species","location","group_id","transfer_chimp_a_b","sex","breeding","father","mother","place_of_birth","day_of_birth","month_of_birth","year_of_birth","day_in_leipzig_since","month_in_leipzig_since","year_in_leipzig_since","arrived_from","day_of_death","month_of_death","year_of_death"
"amira","bonobo","leipzig","wkprc_bonobo","no","female","reared_by_lexi","unknown","yasa","leipzig",15,5,2017,15,5,2017,,,,
"bokela","bonobo","died","wkprc_bonobo","no","female","parent","kakowet_ii","banja","twycross_zoo_gb",14,10,2003,23,5,2011,"twycross_gb","1","2","2012"
"fimi","bonobo","left_for_other_zoo","wkprc_bonobo","no","female","parent","kuno","yasa","leipzig",28,7,2008,28,7,2008,,,,
"gemena","bonobo","left_for_other_zoo","wkprc_bonobo","no","female","parent","kakowet_ii_","cheka","twycross_zoo_gb",7,11,2005,15,5,2013,"twycross_gb",,,
"gerda","bonobo","leipzig","wkprc_bonobo","no","female","parent","unknown","luiza","zoo_leipzig",30,4,2021,30,4,2021,,,,
"hodari","bonobo","leipzig","wkprc_bonobo","no","male","parent","unknown","lexi","zoo_leipzig",3,2,2020,3,2,2020,,,,
"jasongo","bonobo","leipzig","wkprc_bonobo","no","male","hand_reared","mato","lisala","wuppertal",2,8,1990,23,5,2011,"twycross_gb",,,
"joey","bonobo","leipzig","wkprc_bonobo","no","male","hand_reared","desmond_","dzeeta","royal_zool_society_of_antwerp",13,12,1982,5,3,2001,"stuttgart",,,
"kasai_II","bonobo","leipzig","wkprc_bonobo","no","male","parent","kuno","yasa","zoo_leipzig",9,1,2013,9,1,2013,,,,
"kuno","bonobo","leipzig","wkprc_bonobo","no","male","hand_reared","maskini","kombote ","wilhelma_zoo_stuttgart",26,11,1996,8,3,2001,"stuttgart",,,
"lexi","bonobo","leipzig","wkprc_bonobo","no","female","hand_reared","bosondjo","lorel","jacksonville",13,9,1999,21,5,2012,"jacksonville_usa",,,
"limbuko","bonobo","left_for_other_zoo","wkprc_bonobo","no","male","hand_reared","masikini","lina","wilhelma_zoo_stuttgart",4,10,1995,8,3,2001,"stuttgart",,,
"loto","bonobo","left_for_other_zoo","wkprc_bonobo","no","male","parent","kuno","ulindi","zoo_leipzig",2,9,2009,2,9,2009,,,,
"luiza","bonobo","leipzig","wkprc_bonobo","no","female","parent","limbuko","ulindi","zoo_leipzig",27,1,2005,27,1,2005,,,,
"sumai","bonobo","leipzig","wkprc_bonobo","no","male","parent","kuno","yasa","zoo_leipzig",19,6,2018,19,6,2018,,,,
"tayo","bonobo","leipzig","wkprc_bonobo","no","male","parent","Kuno","lexi","zoo_leipzig",22,7,2016,22,7,2016,,,,
"ulindi","bonobo","left_for_other_zoo","wkprc_bonobo","no","female","parent","bono","natalie","zoo_frankfurt",10,10,1993,17,5,2001,"frankfurt",,,
"yaro","bonobo","leipzig","wkprc_bonobo","no","male","parent","Kuno","lexi","zoo_leipzig",18,4,2013,18,4,2013,,,,
"yasa","bonobo","leipzig","wkprc_bonobo","no","female","parent","kakowet_ii","diatou","twycross_zoo_gb",27,8,1997,26,5,2004,"twycross_gb",,,
"alex","chimpanzee","leipzig","wkprc_chimpanzee_b","no","male","hand_reared","arthur","amandine","safaripark_plaisance_du_touch",10,3,2001,8,5,2002,"plaisance_du_touch",,,
"alexandra","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_b","no","female","hand_reared","ton","phil","rijswijk",30,8,1999,15,6,2001,"rijswijk",,,
"annett","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_b","no","female","hand_reared","bram","jana","rijswijk",28,8,1999,15,6,2001,"rijswijk",,,
"azibo","chimpanzee","leipzig","wkprc_chimpanzee_a","no","male","parent","unknown","swela","leipzig",14,4,2015,14,4,2015,,,,
"bambari","chimpanzee","leipzig","wkprc_chimpanzee_a","yes","female","parent","siri","hope","ostrava",8,12,2000,3,2,2016,"ostrava",,,
"bangolo","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","male","parent","patrick","dorien","leipzig",5,7,2009,5,7,2009,,,,
"brent","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","male","parent","robert","natascha","leipzig",8,8,1999,28,2,2001,"rijswijk",23,12,2005
"brigitta","chimpanzee","died",,,"female","unknown","unknown","unknown","wild-born",1,1,1967,27,5,2013,"aapalmere","1","8","2014"
"carola","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","unknown","fraukje","leipzig",1,5,2020,1,5,2020,,,,
"changa","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","carl","cindy","kopenhagen",3,3,2011,10,12,2019,"kopenhagen",,,
"corry","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","izzak","debbie","rijswijk",9,12,1976,28,2,2001,"rijswijk",,,
"daza","chimpanzee","leipzig","wkprc_chimpanzee_b","yes","female","unknown","unknown","unknown","wild-born",1,1,1986,27,5,2013,"aapalmere",,,
"dorien","chimpanzee","died","wkprc_chimpanzee_a","no","female","parent","frits","diana","rijswijk",22,10,1980,28,2,2001,"rijswijk","9","2","2022"
"fifi","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_b","yes","female","parent","robert","ulla","rijswijk",12,5,1993,28,2,2001,"rijswijk",,,
"frank","chimpanzee","leipzig","wkprc_chimpanzee_a","no","male","parent","unknown","kisha","leipzig",25,12,2019,25,12,2019,,,,
"fraukje","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","unknown","louise","rijswijk",6,4,1976,28,2,2001,"rijswijk",,,
"frederike","chimpanzee","leipzig","wkprc_chimpanzee_b","no","female","unknown","unknown","unknown","wild-born",1,1,1974,27,5,2013,"aapalmere",,,
"frodo","chimpanzee","leipzig","wkprc_chimpanzee_a","no","male","parent","robert","natascha","rijswijk",28,11,1993,28,2,2001,"rijswijk",,,
"fynn","chimpanzee","died","wkprc_chimpanzee_a","no","male","parent","robert","natascha","leipzig",17,12,2004,17,12,2004,,"27","1","2005"
"gertrudia","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_b","no","female","parent","robert","corrie","rijswijk",20,5,1993,28,2,2001,"rijswijk",,,
"hope","chimpanzee","leipzig","wkprc_chimpanzee_b","no","female","parent","chuck","brigitte","jerusalem",14,12,1990,3,2,2016,"ostrava",,,
"jahaga","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_b","yes","female","parent","robert","fraukje","rijswijk",6,1,1993,28,2,2001,"rijswijk",,,
"jeudi","chimpanzee","leipzig","wkprc_chimpanzee_b","no","female","unknown","unknown","unknown","wild-born","unknown","unknown","unknown",27,5,2013,"aapalmere",,,
"kara","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","female","parent","robert","fraukje","leipzig",23,6,2005,23,6,2005,,,,
"kisha","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","tatu","vakanga","osnabrück",4,3,2004,4,9,2013,"osnabrück",,,
"kofi","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","male","parent","robert","ulla","leipzig",7,7,2005,7,7,2005,,,,
"lobo","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","male","parent","robert","corry","leipzig",24,4,2004,21,4,2004,,,,
"lome","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","male","parent","robert","corry","leipzig",11,8,2001,11,8,2001,,,,
"maja","chimpanzee","leipzig","wkprc_chimpanzee_a","yes","female","parent","toto_i","schika","hannover",1,5,1986,3,2,2016,"ostrava",,,
"makeni","chimpanzee","leipzig","wkprc_chimpanzee_a","no","male","rared_by_Corry","unknown","natascha","leipzig",14,3,2018,14,3,2018,,,,
"mora","chimpanzee","died","wkprc_chimpanzee_a","no","female","parent","unknown","riet","leipzig",23,6,2007,23,6,2007,,"1","5","2008"
"mosi","chimpanzee","died",,,"male","hand_reared","unknown","unknown","rijswijk",16,2,2001,28,2,2001,"rijswijk","20","11","2001"
"natascha","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","frits","regina","rijswijk",28,3,1980,28,2,2001,"rijswijk",,,
"ohini","chimpanzee","leipzig","wkprc_chimpanzee_a","no","male","parent","unknown","kisha","leipzig",25,3,2016,25,3,2016,,,,
"patrick","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","male","parent","robert","corry","rijswijk",8,6,1997,28,2,2001,"rijswijk",,,
"pia","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","female","parent","robert","fraukje","rijswijk",16,9,1999,28,2,2001,"rijswijk",,,
"quamisha","chimpanzee","died","wkprc_chimpanzee_a","no","female","parent","eros","jacky","basel",21,4,1993,19,9,2013,"basel","20","2","2014"
"riet","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","marco","anita","rijswijk",11,11,1977,28,2,2001,"rijswijk",,,
"robert","chimpanzee","leipzig","wkprc_chimpanzee_a","no","male","parent","jacob","gina","rijswijk",1,12,1975,28,2,2001,"rijswijk",,,
"sandra","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","robert","riet","rijswijk",9,6,1993,28,2,2001,"rijswijk",,,
"swela","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","eros","benga","basel",19,10,1995,15,3,2005,"basel",,,
"tai","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","parent","robert","riet","leipzig",12,8,2002,12,8,2002,,,,
"ulla","chimpanzee","left_for_other_zoo","wkprc_chimpanzee_a","no","female","parent","izzak","yvonne","rijswijk",8,6,1977,28,2,2001,"rijswijk",,,
"unyoro","chimpanzee","left_for_other_zoo","wkpr_chimpanzee_b","no","male","parent","eros","tana","zoologischer_garten_basel",25,2,1997,2,8,2004,"basel",,,
"youma","chimpanzee","leipzig","wkprc_chimpanzee_a","no","female","rared_by_Natascha","unknown","corry","leipzig",25,3,2018,25,3,2018,,,,
"zira","chimpanzee","leipzig","wkprc_chimpanzee_b","yes","female","parent","siri","maja","ostrava",3,6,1997,3,2,2016,"ostrava",,,
"abeeku","gorilla","leipzig","wkprc_gorilla","no","male","parent","ernst","annette","rotterdam",5,5,1999,20,8,2012,"opole_poland",,,
"bebe","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","parent_til_catch","wild","wild","cameroon_wildborn",1,1,1979,5,3,2001,"arnheim",,,
"diara","gorilla","leipzig","wkprc_gorilla","no","female","parent","abeeku","kumili","zoo_leipzig",11,3,2014,11,5,2014,,,,
"effie","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","hand_reared","samson","salome","kopenhagen",5,3,1993,29,3,2006,"berlin",,,
"gorgo","gorilla","left_for_other_zoo","wkprc_gorilla","no","male","hand_reared","massa","boma","krefeld",28,6,1981,5,3,2001,"arnheim",,,
"jengo","gorilla","died","wkprc_gorilla","no","male","parent","abeeku","kibara","leipzig",2,12,2013,2,12,2013,,"13",6,"2014"
"kianga","gorilla","leipzig","wkprc_gorilla","no","female","parent","abeeku","kibara","zoo_leipzig",4,12,2016,4,12,2016,,,,
"kibara","gorilla","leipzig","wkprc_gorilla","no","female","parent","gorgo","viringika","leipzig",13,1,2004,13,1,2004,,,,
"kio","gorilla","leipzig","wkprc_gorilla","no","male","parent","abeeku","kumili","zoo_leipzig",6,12,2017,6,12,2017,,,,
"kumili","gorilla","leipzig","wkprc_gorilla","no","female","parent","kumba_ii","asili","chessington",23,1,2004,30,11,2012,"chessington",,,
"louna","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","parent","gorgo","bebe","leipzig",13,7,2006,13,7,2006,,,,
"n’diki","gorilla","died","wkprc_gorilla","no","female","parent_til_catch","wild","wild","cameroon_wildborn",1,12,1978,12,10,2001,"arnheim","18","5","2007"
"n’kwango","gorilla","left_for_other_zoo","wkprc_gorilla","no","male","parent","gorgo","n’diki","burger_zoo_arnhem",22,9,1996,12,10,2001,"arnheim",,,
"ruby_b'windi","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","hand_reared","gorgo","bebe","burger_zoo_arnheim",19,12,1997,5,3,2001,"arnheim",12,8,2009
"vimoto","gorilla","left_for_other_zoo","wkprc_gorilla","no","male","parent","n’gola","mamitu","zuerich",11,3,1995,23,1,2001,"zuerich",,,
"viringika","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","parent","n’gola","inge","zoo_zurich",23,3,1995,23,1,2001,"zuerich",,,
"vizuri","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","parent","n’gola","nache","zuerich",18,5,1995,23,1,2001,"zuerich",,,
"zola","gorilla","left_for_other_zoo","wkprc_gorilla","no","female","parent","gorgo","viringika","leipzig",15,4,2008,15,4,2008,,,,
"batak","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","bimbo","pini","leipzig",30,10,2009,30,10,2009,,,,
"bimbo","orangutan","leipzig","wkprc_orangutan","no","male","hand_reared","major","noni","zoo_duisburg",20,9,1980,21,12,2000,"peaugres",,,
"dokana","orangutan","leipzig","wkprc_orangutan","no","female","parent","djeruk","djudi","dresden",31,1,1989,7,5,2002,"dresden",,,
"dunja","orangutan","died","wkprc_orangutan","no","female","parent","hans","ulla","tp_berlin-friedrichsfelde_gmbh",19,4,1973,13,4,1976,"Berlin","27","10","2009"
"kila","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","tuhjo","dunja","leipzig",2,6,2000,2,6,2000,,,,
"lursa","orangutan","leipzig","wkprc_orangutan","no","female","parent","bimbo","raja","leipzig",21,8,2021,21,8,2021,,,,
"maia","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","bimbo","dunja","leipzig",7,12,2007,7,12,2007,,,,
"martok","orangutan","died","wkprc_orangutan","no","male","parent","bimbo","raja","leipzig",25,3,2017,25,3,2017,,"9","8","2020"
"mengala","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","willem","duriane","budapest",25,4,1996,8,10,2012,"budapest",,,
"padana","orangutan","leipzig","wkprc_orangutan","no","female","parent","walther","pini","leipzig",18,11,1997,18,11,1997,,,,
"pagai","orangutan","died","wkprc_orangutan","no","male","parent","bimbo","dokana","leipzig",6,12,2003,6,12,2003,,"1","9","2008"
"pini","orangutan","leipzig","wkprc_orangutan","no","female","parent","coco","dunja","leipzig",30,6,1988,30,6,1988,,,,
"raja","orangutan","leipzig","wkprc_orangutan","no","female","parent","walther","pini","leipzig",26,9,2003,26,9,2003,,,,
"rima","orangutan","died","wkprc_orangutan","no","female","parent","bimbo","pini","leipzig",2,8,2019,2,8,2019,,"12","4","2020"
"sari","orangutan","leipzig","wkprc_orangutan","no","female","parent","bimbo","padana","leipzig",5,8,2017,5,8,2017,,,,
"suaq","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","bimbo","padana","leipzig",14,5,2009,14,5,2009,,,,
"tanah","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","bimo","dokana","leipzig",16,6,2009,16,6,2009,,,,
"tao","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","walther","toba","leipzig",18,11,2004,18,11,2004,,,,
"toba","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","parent","djeruk","dunja","leipzig",7,2,1994,7,2,1994,,,,
"vilmos","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","chuij","mengala","budapest",9,12,2010,9,10,2012,"budapest",,,
"walter","orangutan","left_for_other_zoo","wkprc_orangutan","no","male","parent","charly","djambi","frankfurt_a_main",24,4,1989,25,3,1993,"Furuvik",,,
"zora","orangutan","left_for_other_zoo","wkprc_orangutan","no","female","hand_reared","bruno","tessy","munich",1,5,1990,1,7,2005,"hannover",,,
